"Sample Group","Source","Source ID","Well #","Site ID","Sample ID","Sample Date","Sample Type","# Samples","# Results","Sample Time","Description","Date Reported","Source","Collector","Lab ID","Lab","Reason for No Results","Lab Comments"
"Inorganics","Entry Point","100","(none)","M-100","702377","01/23/2013","Compliance","1","15","1100","","02/08/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","702375","01/23/2013","Compliance","1","1","1100","","02/08/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","702376","01/23/2013","Raw Water","1","2","1100","","02/08/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","698066","12/11/2012","Compliance","1","1","1145","","12/19/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","698065","12/11/2012","Raw Water","1","2","1145","","12/19/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","694742","11/19/2012","Compliance","1","1","1300","","12/04/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","694743","11/19/2012","Raw Water","1","2","1300","","12/04/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","689170","10/15/2012","Compliance","1","11","1320","","10/23/2012","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","689168","10/15/2012","Compliance","1","1","1330","","10/23/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","689169","10/15/2012","Raw Water","1","2","1330","","10/23/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","683093","09/12/2012","Compliance","1","1","1330","","09/21/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","683092","09/12/2012","Raw Water","1","2","1330","","09/21/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","677591","08/13/2012","Compliance","1","1","1430","","08/22/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","677590","08/13/2012","Raw Water","1","2","1430","","08/22/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","673136","07/17/2012","Compliance","1","11","1200","","08/03/2012","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","673138","07/17/2012","Compliance","1","1","1300","","08/03/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","673137","07/17/2012","Raw Water","1","2","1300","","08/03/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","669134","06/20/2012","Compliance","1","1","1500","","06/29/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","669133","06/20/2012","Raw Water","1","2","1500","","06/29/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","662894","05/15/2012","Compliance","1","1","1045","","05/30/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","662893","05/15/2012","Raw Water","1","2","1045","","05/30/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","659482","04/23/2012","Compliance","1","11","1330","","05/14/2012","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","659481","04/23/2012","Compliance","1","1","1300","","05/14/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","659480","04/23/2012","Raw Water","1","2","1300","","05/14/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","656119","03/27/2012","Compliance","1","1","900","","04/09/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","656118","03/27/2012","Raw Water","1","2","900","","04/09/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","651597","02/20/2012","Compliance","1","1","1140","","03/05/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","651598","02/20/2012","Raw Water","1","2","1140","","03/05/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","648906","01/24/2012","Compliance","1","11","945","","02/16/2012","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","648907","01/24/2012","Compliance","1","15","1025","","02/16/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","648909","01/24/2012","Compliance","1","1","1025","","02/16/2012","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","648908","01/24/2012","Raw Water","1","2","1025","","02/16/2012","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","645322","12/13/2011","Compliance","1","1","1330","","12/20/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","645321","12/13/2011","Raw Water","1","2","1330","","12/20/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","642252","11/15/2011","Compliance","1","1","1400","","11/23/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","642251","11/15/2011","Raw Water","1","2","1400","","11/23/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","639615","10/25/2011","Compliance","1","11","1115","","11/17/2011","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","639614","10/25/2011","Compliance","1","1","1050","","11/17/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","639613","10/25/2011","Raw Water","1","2","1050","","11/17/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","633089","09/15/2011","Compliance","1","2","940","","10/03/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","633148","09/15/2011","Compliance","1","1","940","","09/29/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","633147","09/15/2011","Raw Water","1","2","940","","09/29/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M100","627944","08/22/2011","Compliance","1","1","1500","","09/06/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","627945","08/22/2011","Raw Water","1","2","1500","","09/06/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","621010","07/12/2011","Compliance","1","11","1340","","08/10/2011","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","621013","07/12/2011","Compliance","1","37","1315","","08/10/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","","The matrix spike recovered below QC limits.  The contr"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","621011","07/12/2011","Compliance","1","1","1305","","08/10/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","621012","07/12/2011","Raw Water","1","2","1305","","08/10/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-10","617480","06/20/2011","Compliance","1","1","1400","","06/28/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","617479","06/20/2011","Compliance","1","1","1400","","06/28/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","617478","06/20/2011","Raw Water","1","2","1400","","06/28/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","611469","05/11/2011","Compliance","1","1","1000","","05/13/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","611470","05/11/2011","Raw Water","1","2","1000","","05/13/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","607229","04/12/2011","Compliance","1","11","1120","","05/17/2011","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","607230","04/12/2011","Compliance","1","1","1145","","05/17/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","607233","04/12/2011","Compliance","1","37","1145","","05/17/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","607232","04/12/2011","Compliance","1","1","1145","","05/17/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","607231","04/12/2011","Raw Water","1","2","1145","","05/17/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","604366","03/16/2011","Compliance","1","1","1130","","03/25/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","604365","03/16/2011","Raw Water","1","2","1130","","03/25/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","600102","02/10/2011","Compliance","1","1","1250","","02/17/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","600101","02/10/2011","Raw Water","1","2","1250","","02/17/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-0001","598313","01/19/2011","Compliance","1","11","1140","","02/16/2011","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","598316","01/19/2011","Compliance","1","15","1050","","02/16/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","598318","01/19/2011","Compliance","1","1","1030","","02/16/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","598314","01/19/2011","Compliance","1","1","1110","","02/16/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","598315","01/19/2011","Raw Water","1","2","1112","","02/16/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Volatile Organics","Entry Point","100","(none)","M-100","598317","01/19/2011","Compliance","1","41","1105","","02/16/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Well","1","(none)","M-1","597239","01/10/2011","Investigation","1","1","1410","","01/19/2011","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","597243","01/10/2011","Investigation","1","1","1410","","01/19/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-40","597241","01/10/2011","Investigation","1","1","1410","","01/19/2011","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2378447","12/14/2010","Compliance","1","1","1300","","12/23/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2378445-46","12/14/2010","Raw Water","1","2","1300","","12/23/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2364032","11/16/2010","Compliance","1","1","1100","","11/29/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2364030-31","11/16/2010","Raw Water","1","2","1100","","11/29/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2350003","10/19/2010","Compliance","1","1","1315","","10/29/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2350001-02","10/19/2010","Raw Water","1","2","1315","","10/29/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2346894","10/12/2010","Compliance","1","5","1530","","10/22/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2346895","10/12/2010","Compliance","1","6","1530","","10/22/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2329804","09/13/2010","Compliance","1","1","1330","","09/23/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2329802-03","09/13/2010","Raw Water","1","2","1330","","09/23/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2318785","08/23/2010","Compliance","1","1","1430","","09/01/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2318783-84","08/23/2010","Raw Water","1","2","1430","","09/01/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2299613","07/20/2010","Compliance","1","6","1300","","07/29/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2299612","07/20/2010","Compliance","1","5","1300","","07/29/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2300056","07/20/2010","Compliance","1","1","1345","","07/29/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2300054-55","07/20/2010","Raw Water","1","2","1345","","07/29/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2281449","06/16/2010","Compliance","1","1","1500","","06/24/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2281447-48","06/16/2010","Raw Water","1","2","1500","","06/24/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2267730","05/19/2010","Compliance","1","1","1300","","05/27/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2267728-29","05/19/2010","Raw Water","1","2","1300","","05/27/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2248315","04/08/2010","Compliance","1","5","1400","","04/20/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2248316","04/08/2010","Compliance","1","6","1400","","04/20/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2248305","04/08/2010","Compliance","1","1","1345","","04/16/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2248303-04","04/08/2010","Raw Water","1","2","1345","","04/16/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2236559","03/16/2010","Compliance","1","1","1245","","03/29/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2236557-58","03/16/2010","Raw Water","1","2","1245","","03/29/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2223987","02/17/2010","Compliance","1","5","1405","","03/02/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","","2223988","02/17/2010","Compliance","1","6","1405","","03/02/2010","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Inorganics","Entry Point","100","(none)","","2223606-07","02/17/2010","Compliance","1","16","1330","","02/26/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2223819","02/17/2010","Compliance","1","1","1300","","02/25/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2223817-18","02/17/2010","Raw Water","1","2","1300","","02/25/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2211545","01/21/2010","Compliance","1","1","1100","","02/03/2010","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2211543-44","01/21/2010","Raw Water","1","2","1100","","02/03/2010","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2194165","12/10/2009","Compliance","1","1","1100","","12/18/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2194163-64","12/10/2009","Raw Water","1","2","1100","","12/18/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2182961","11/18/2009","Compliance","1","1","1130","","12/01/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2182959-60","11/18/2009","Raw Water","1","2","1130","","12/01/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","2167641","10/22/2009","Compliance","1","6","1100","","11/03/2009","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2167621","10/22/2009","Compliance","1","1","1300","","11/04/2009","Entry Point","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2167619-20","10/22/2009","Raw Water","1","2","1300","","11/04/2009","Well","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","2167640","10/22/2009","Compliance","1","5","1100","","11/03/2009","Distribution System","A CEGIELSKI","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2148134","09/17/2009","Compliance","1","1","1030","","09/29/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2148132-33","09/17/2009","Raw Water","1","2","1030","","09/29/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2129575","08/18/2009","Compliance","1","1","1300","","08/28/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2129573-74","08/18/2009","Raw Water","1","2","1300","","08/28/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","2104436","07/09/2009","Compliance","1","6","1400","","07/21/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2104433","07/09/2009","Compliance","1","1","1345","","07/24/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2104431-32","07/09/2009","Raw Water","1","2","1345","","07/24/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","2104437","07/09/2009","Compliance","1","5","1400","","07/21/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2083578","06/04/2009","Compliance","1","1","1145","","06/17/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2083576-77","06/04/2009","Raw Water","1","2","1145","","06/17/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2079255","05/28/2009","Compliance","1","1","1000","","06/03/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2079253-54","05/28/2009","Raw Water","1","2","1000","","06/03/2009","Well","E. KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","2059399","04/23/2009","Compliance","1","6","1430","","05/05/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2059394","04/23/2009","Compliance","1","1","1330","","05/01/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2059392-93","04/23/2009","Raw Water","1","2","1330","","05/01/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Trihalomethane Sample","Distribution System","(none)","(none)","","2059398","04/23/2009","Compliance","1","5","1430","","05/05/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Inorganics","Entry Point","100","(none)","","2040553-54","03/19/2009","Compliance","1","16","1324","","03/31/2009","Entry Point","D ZIEGE","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2040682","03/19/2009","Compliance","1","1","1402","","03/31/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Raw Water","Well","1","(none)","","2040681,83","03/19/2009","Raw Water","1","2","1356","","03/31/2009","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Haloacetic Acids","Distribution System","(none)","(none)","","2026117","02/19/2009","Compliance","1","6","1430","","03/03/2009","Distribution System","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","","2025822","02/19/2009","Compliance","1","1","1400","","03/03/2009","Entry Point","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Iced / Wet"
